asset_tag,motor_tag,service_date,component,item_description,unit,source_value,method,technician,note
P-1202A,M-1202A,2026-05-13,Motor foot,soft foot front left,mm,0.04,laser alignment kit LA-9,MT-BR,
P-1202A,M-1202A,2026-05-13,Motor foot,soft foot rear right,mm,0.06,laser alignment kit LA-9,MT-BR,
P-1202B,M-1202B,2026-05-13,Coupling,vertical offset,mm,0.06,laser alignment kit LA-9,MT-BR,
P-1202B,M-1202B,2026-05-13,Coupling,horizontal offset,mm,0.11,laser alignment kit LA-9,MT-BR,
P-1202B,M-1202B,2026-05-13,Coupling,vertical angularity,mm/100mm,0.06,laser alignment kit LA-9,MT-BR,
P-1202B,M-1202B,2026-05-13,Coupling,horizontal angularity,mm/100mm,0.08,laser alignment kit LA-9,MT-BR,
P-1202B,M-1202B,2026-05-13,Pump shaft,shaft runout DE,mm,0.04,laser alignment kit LA-9,MT-BR,
P-1202B,M-1202B,2026-05-13,Motor shaft,shaft runout DE,mm,0.04,laser alignment kit LA-9,MT-BR,
P-1202B,M-1202B,2026-05-13,Motor foot,soft foot front left,mm,0.05,laser alignment kit LA-9,MT-BR,
P-1202B,M-1202B,2026-05-13,Motor foot,soft foot rear right,mm,0.05,laser alignment kit LA-9,MT-BR,
P-1210A,M-1210A,2026-05-13,Coupling,vertical offset,mm,0.11,laser alignment kit LA-9,MT-BR,
P-1210A,M-1210A,2026-05-13,Coupling,horizontal offset,mm,0.08,laser alignment kit LA-9,MT-BR,
P-1210A,M-1210A,2026-05-13,Coupling,vertical angularity,mm/100mm,0.08,laser alignment kit LA-9,MT-BR,
P-1210A,M-1210A,2026-05-13,Coupling,horizontal angularity,mm/100mm,0.04,laser alignment kit LA-9,MT-BR,
P-1210A,M-1210A,2026-05-13,Pump shaft,shaft runout DE,mm,0.02,laser alignment kit LA-9,MT-BR,
P-1210A,M-1210A,2026-05-13,Motor shaft,shaft runout DE,mm,0.05,laser alignment kit LA-9,MT-BR,
P-1210A,M-1210A,2026-05-13,Motor foot,soft foot front left,mm,0.02,laser alignment kit LA-9,MT-BR,
P-1210A,M-1210A,2026-05-13,Motor foot,soft foot rear right,mm,0.05,laser alignment kit LA-9,MT-BR,
P-1210B,M-1210B,2026-05-13,Coupling,vertical offset,mm,0.07,laser alignment kit LA-9,MT-BR,
P-1210B,M-1210B,2026-05-13,Coupling,horizontal offset,mm,0.07,laser alignment kit LA-9,MT-BR,
P-1210B,M-1210B,2026-05-13,Coupling,vertical angularity,mm/100mm,0.04,laser alignment kit LA-9,MT-BR,
P-1210B,M-1210B,2026-05-13,Coupling,horizontal angularity,mm/100mm,0.03,laser alignment kit LA-9,MT-BR,
P-1210B,M-1210B,2026-05-13,Pump shaft,shaft runout DE,mm,0.04,laser alignment kit LA-9,MT-BR,
P-1210B,M-1210B,2026-05-13,Motor shaft,shaft runout DE,mm,0.05,laser alignment kit LA-9,MT-BR,
P-1210B,M-1210B,2026-05-13,Motor foot,soft foot front left,mm,0.04,laser alignment kit LA-9,MT-BR,
P-1210B,M-1210B,2026-05-13,Motor foot,soft foot rear right,mm,0.04,laser alignment kit LA-9,MT-BR,
P-1220A,M-1220A,2026-05-13,Coupling,vertical offset,mm,0.1,laser alignment kit LA-9,MT-BR,
P-1220A,M-1220A,2026-05-13,Coupling,horizontal offset,mm,0.12,laser alignment kit LA-9,MT-BR,
P-1220A,M-1220A,2026-05-13,Coupling,vertical angularity,mm/100mm,0.05,laser alignment kit LA-9,MT-BR,
P-1220A,M-1220A,2026-05-13,Coupling,horizontal angularity,mm/100mm,0.08,laser alignment kit LA-9,MT-BR,
P-1220A,M-1220A,2026-05-13,Pump shaft,shaft runout DE,mm,,laser alignment kit LA-9,MT-BR,shaft runout not recorded; dial indicator base slipped
P-1220A,M-1220A,2026-05-13,Motor shaft,shaft runout DE,mm,0.03,laser alignment kit LA-9,MT-BR,shaft runout not recorded; dial indicator base slipped
P-1220A,M-1220A,2026-05-13,Motor foot,soft foot front left,mm,0.06,laser alignment kit LA-9,MT-BR,
P-1220A,M-1220A,2026-05-13,Motor foot,soft foot rear right,mm,0.06,laser alignment kit LA-9,MT-BR,
