asset_tag,service_date,component,measurement_type,unit,source_value,rpm,instrument_id,route_id,reading_position,note
P-1201B,2026-05-06,DE bearing,vibration velocity axial,mm/s,2.43,2960,VM-44,VR-PSK12,axial,
P-1201B,2026-05-06,NDE bearing,vibration velocity horizontal,mm/s,2.12,2960,VM-44,VR-PSK12,horizontal,
P-1201B,2026-05-06,NDE bearing,vibration velocity vertical,mm/s,1.93,2960,VM-44,VR-PSK12,vertical,
P-1201B,2026-05-06,NDE bearing,vibration velocity axial,mm/s,2.38,2960,VM-44,VR-PSK12,axial,
P-1201B,2026-05-06,DE bearing,bearing temperature,degC,58.3,2960,IR-18,TR-PSK12,cap surface,
P-1201B,2026-05-06,NDE bearing,bearing temperature,degC,54.8,2960,IR-18,TR-PSK12,cap surface,
P-1201B,2026-05-07,DE bearing,vibration velocity horizontal,mm/s,2.64,2960,VM-44,VR-PSK12,horizontal,
P-1201B,2026-05-07,DE bearing,vibration velocity vertical,mm/s,2.19,2960,VM-44,VR-PSK12,vertical,
P-1201B,2026-05-07,DE bearing,vibration velocity axial,mm/s,2.55,2960,VM-44,VR-PSK12,axial,
P-1201B,2026-05-07,NDE bearing,vibration velocity horizontal,mm/s,2.15,2960,VM-44,VR-PSK12,horizontal,
P-1201B,2026-05-07,NDE bearing,vibration velocity vertical,mm/s,2.31,2960,VM-44,VR-PSK12,vertical,
P-1201B,2026-05-07,NDE bearing,vibration velocity axial,mm/s,2.49,2960,VM-44,VR-PSK12,axial,
P-1201B,2026-05-07,DE bearing,bearing temperature,degC,53.8,2960,IR-18,TR-PSK12,cap surface,
P-1201B,2026-05-07,NDE bearing,bearing temperature,degC,56.9,2960,IR-18,TR-PSK12,cap surface,
P-1201B,2026-05-08,DE bearing,vibration velocity horizontal,mm/s,2.6,2960,VM-44,VR-PSK12,horizontal,
P-1201B,2026-05-08,DE bearing,vibration velocity vertical,mm/s,2.08,2960,VM-44,VR-PSK12,vertical,
P-1201B,2026-05-08,DE bearing,vibration velocity axial,mm/s,2.45,2960,VM-44,VR-PSK12,axial,
P-1201B,2026-05-08,NDE bearing,vibration velocity horizontal,mm/s,2.12,2960,VM-44,VR-PSK12,horizontal,
P-1201B,2026-05-08,NDE bearing,vibration velocity vertical,mm/s,2.3,2960,VM-44,VR-PSK12,vertical,
P-1201B,2026-05-08,NDE bearing,vibration velocity axial,mm/s,2.24,2960,VM-44,VR-PSK12,axial,
P-1201B,2026-05-08,DE bearing,bearing temperature,degC,56.6,2960,IR-18,TR-PSK12,cap surface,
P-1201B,2026-05-08,NDE bearing,bearing temperature,degC,62.5,2960,IR-18,TR-PSK12,cap surface,
P-1201C,2026-05-06,DE bearing,vibration velocity horizontal,mm/s,1.93,2960,VM-44,VR-PSK12,horizontal,
P-1201C,2026-05-06,DE bearing,vibration velocity vertical,mm/s,2.01,2960,VM-44,VR-PSK12,vertical,
P-1201C,2026-05-06,DE bearing,vibration velocity axial,mm/s,2.58,2960,VM-44,VR-PSK12,axial,
P-1201C,2026-05-06,NDE bearing,vibration velocity horizontal,mm/s,2.22,2960,VM-44,VR-PSK12,horizontal,
P-1201C,2026-05-06,NDE bearing,vibration velocity vertical,mm/s,2.25,2960,VM-44,VR-PSK12,vertical,
P-1201C,2026-05-06,NDE bearing,vibration velocity axial,mm/s,2.41,2960,VM-44,VR-PSK12,axial,
P-1201C,2026-05-06,DE bearing,bearing temperature,degC,53.2,2960,IR-18,TR-PSK12,cap surface,
P-1201C,2026-05-06,NDE bearing,bearing temperature,degC,60.6,2960,IR-18,TR-PSK12,cap surface,
P-1201C,2026-05-07,DE bearing,vibration velocity horizontal,mm/s,2.16,2960,VM-44,VR-PSK12,horizontal,
P-1201C,2026-05-07,DE bearing,vibration velocity vertical,mm/s,2.19,2960,VM-44,VR-PSK12,vertical,
P-1201C,2026-05-07,DE bearing,vibration velocity axial,mm/s,2.23,2960,VM-44,VR-PSK12,axial,
P-1201C,2026-05-07,NDE bearing,vibration velocity horizontal,mm/s,1.98,2960,VM-44,VR-PSK12,horizontal,
P-1201C,2026-05-07,NDE bearing,vibration velocity vertical,mm/s,1.96,2960,VM-44,VR-PSK12,vertical,
P-1201C,2026-05-07,NDE bearing,vibration velocity axial,mm/s,2.57,2960,VM-44,VR-PSK12,axial,
P-1201C,2026-05-07,DE bearing,bearing temperature,degC,83.0,2960,IR-18,TR-PSK12,cap surface,
P-1201C,2026-05-07,NDE bearing,bearing temperature,degC,58.9,2960,IR-18,TR-PSK12,cap surface,
P-1201C,2026-05-08,DE bearing,vibration velocity horizontal,mm/s,2.05,2960,VM-44,VR-PSK12,horizontal,
P-1201C,2026-05-08,DE bearing,vibration velocity vertical,mm/s,2.09,2960,VM-44,VR-PSK12,vertical,
P-1201C,2026-05-08,DE bearing,vibration velocity axial,mm/s,2.52,2960,VM-44,VR-PSK12,axial,
P-1201C,2026-05-08,NDE bearing,vibration velocity horizontal,mm/s,2.28,2960,VM-44,VR-PSK12,horizontal,
P-1201C,2026-05-08,NDE bearing,vibration velocity vertical,mm/s,2.32,2960,VM-44,VR-PSK12,vertical,
P-1201C,2026-05-08,NDE bearing,vibration velocity axial,mm/s,2.37,2960,VM-44,VR-PSK12,axial,
P-1201C,2026-05-08,DE bearing,bearing temperature,degC,58.8,2960,IR-18,TR-PSK12,cap surface,
P-1201C,2026-05-08,NDE bearing,bearing temperature,degC,57.1,2960,IR-18,TR-PSK12,cap surface,
P-1202A,2026-05-06,DE bearing,vibration velocity horizontal,mm/s,2.28,1480,VM-44,VR-PSK12,horizontal,
P-1202A,2026-05-06,DE bearing,vibration velocity vertical,mm/s,2.26,1480,VM-44,VR-PSK12,vertical,
P-1202A,2026-05-06,DE bearing,vibration velocity axial,mm/s,2.56,1480,VM-44,VR-PSK12,axial,
P-1202A,2026-05-06,NDE bearing,vibration velocity horizontal,mm/s,2.24,1480,VM-44,VR-PSK12,horizontal,
P-1202A,2026-05-06,NDE bearing,vibration velocity vertical,mm/s,2.27,1480,VM-44,VR-PSK12,vertical,
P-1202A,2026-05-06,NDE bearing,vibration velocity axial,mm/s,2.52,1480,VM-44,VR-PSK12,axial,
P-1202A,2026-05-06,DE bearing,bearing temperature,degC,54.7,1480,IR-18,TR-PSK12,cap surface,
P-1202A,2026-05-06,NDE bearing,bearing temperature,degC,57.4,1480,IR-18,TR-PSK12,cap surface,
P-1202A,2026-05-07,DE bearing,vibration velocity horizontal,mm/s,1.96,1480,VM-44,VR-PSK12,horizontal,
P-1202A,2026-05-07,DE bearing,vibration velocity vertical,mm/s,2.26,1480,VM-44,VR-PSK12,vertical,
P-1202A,2026-05-07,DE bearing,vibration velocity axial,mm/s,2.46,1480,VM-44,VR-PSK12,axial,
P-1202A,2026-05-07,NDE bearing,vibration velocity horizontal,mm/s,2.11,1480,VM-44,VR-PSK12,horizontal,
P-1202A,2026-05-07,NDE bearing,vibration velocity vertical,mm/s,2.0,1480,VM-44,VR-PSK12,vertical,
P-1202A,2026-05-07,NDE bearing,vibration velocity axial,mm/s,2.55,1480,VM-44,VR-PSK12,axial,
P-1202A,2026-05-07,DE bearing,bearing temperature,degC,54.5,1480,IR-18,TR-PSK12,cap surface,
P-1202A,2026-05-07,NDE bearing,bearing temperature,degC,53.3,1480,IR-18,TR-PSK12,cap surface,
P-1202A,2026-05-08,DE bearing,vibration velocity horizontal,mm/s,2.13,1480,VM-44,VR-PSK12,horizontal,
P-1202A,2026-05-08,DE bearing,vibration velocity vertical,mm/s,2.13,1480,VM-44,VR-PSK12,vertical,
P-1202A,2026-05-08,DE bearing,vibration velocity axial,mm/s,2.46,1480,VM-44,VR-PSK12,axial,
P-1202A,2026-05-08,NDE bearing,vibration velocity horizontal,mm/s,2.03,1480,VM-44,VR-PSK12,horizontal,
P-1202A,2026-05-08,NDE bearing,vibration velocity vertical,mm/s,2.29,1480,VM-44,VR-PSK12,vertical,
P-1202A,2026-05-08,NDE bearing,vibration velocity axial,mm/s,2.23,1480,VM-44,VR-PSK12,axial,
P-1202A,2026-05-08,DE bearing,bearing temperature,degC,55.2,1480,IR-18,TR-PSK12,cap surface,
P-1202A,2026-05-08,NDE bearing,bearing temperature,degC,58.2,1480,IR-18,TR-PSK12,cap surface,
P-1202B,2026-05-06,DE bearing,vibration velocity horizontal,mm/s,2.37,1480,VM-44,VR-PSK12,horizontal,
P-1202B,2026-05-06,DE bearing,vibration velocity vertical,mm/s,2.45,1480,VM-44,VR-PSK12,vertical,
P-1202B,2026-05-06,DE bearing,vibration velocity axial,mm/s,2.73,1480,VM-44,VR-PSK12,axial,
P-1202B,2026-05-06,NDE bearing,vibration velocity horizontal,mm/s,2.69,1480,VM-44,VR-PSK12,horizontal,
P-1202B,2026-05-06,NDE bearing,vibration velocity vertical,mm/s,2.66,1480,VM-44,VR-PSK12,vertical,
P-1202B,2026-05-06,NDE bearing,vibration velocity axial,mm/s,2.89,1480,VM-44,VR-PSK12,axial,
P-1202B,2026-05-06,DE bearing,bearing temperature,degC,54.2,1480,IR-18,TR-PSK12,cap surface,
P-1202B,2026-05-06,NDE bearing,bearing temperature,degC,59.8,1480,IR-18,TR-PSK12,cap surface,
P-1202B,2026-05-07,DE bearing,vibration velocity horizontal,mm/s,2.39,1480,VM-44,VR-PSK12,horizontal,
P-1202B,2026-05-07,DE bearing,vibration velocity vertical,mm/s,2.67,1480,VM-44,VR-PSK12,vertical,
P-1202B,2026-05-07,DE bearing,vibration velocity axial,mm/s,2.75,1480,VM-44,VR-PSK12,axial,
P-1202B,2026-05-07,NDE bearing,vibration velocity horizontal,mm/s,2.63,1480,VM-44,VR-PSK12,horizontal,
P-1202B,2026-05-07,NDE bearing,vibration velocity vertical,mm/s,2.58,1480,VM-44,VR-PSK12,vertical,
P-1202B,2026-05-07,NDE bearing,vibration velocity axial,mm/s,2.73,1480,VM-44,VR-PSK12,axial,
P-1202B,2026-05-07,DE bearing,bearing temperature,degC,58.8,1480,IR-18,TR-PSK12,cap surface,
P-1202B,2026-05-07,NDE bearing,bearing temperature,degC,61.0,1480,IR-18,TR-PSK12,cap surface,
P-1202B,2026-05-08,DE bearing,vibration velocity horizontal,mm/s,2.58,1480,VM-44,VR-PSK12,horizontal,
P-1202B,2026-05-08,DE bearing,vibration velocity vertical,mm/s,2.61,1480,VM-44,VR-PSK12,vertical,
P-1202B,2026-05-08,DE bearing,vibration velocity axial,mm/s,2.66,1480,VM-44,VR-PSK12,axial,
P-1202B,2026-05-08,NDE bearing,vibration velocity horizontal,mm/s,2.61,1480,VM-44,VR-PSK12,horizontal,
P-1202B,2026-05-08,NDE bearing,vibration velocity vertical,mm/s,2.67,1480,VM-44,VR-PSK12,vertical,
P-1202B,2026-05-08,NDE bearing,vibration velocity axial,mm/s,2.78,1480,VM-44,VR-PSK12,axial,
P-1202B,2026-05-08,DE bearing,bearing temperature,degC,61.0,1480,IR-18,TR-PSK12,cap surface,
P-1202B,2026-05-08,NDE bearing,bearing temperature,degC,61.1,1480,IR-18,TR-PSK12,cap surface,
P-1210A,2026-05-06,DE bearing,vibration velocity horizontal,mm/s,1.99,1480,VM-44,VR-PSK12,horizontal,
P-1210A,2026-05-06,DE bearing,vibration velocity vertical,mm/s,2.05,1480,VM-44,VR-PSK12,vertical,
P-1210A,2026-05-06,DE bearing,vibration velocity axial,mm/s,2.61,1480,VM-44,VR-PSK12,axial,
P-1210A,2026-05-06,NDE bearing,vibration velocity horizontal,mm/s,1.99,1480,VM-44,VR-PSK12,horizontal,
P-1210A,2026-05-06,NDE bearing,vibration velocity vertical,mm/s,2.27,1480,VM-44,VR-PSK12,vertical,
P-1210A,2026-05-06,NDE bearing,vibration velocity axial,mm/s,2.44,1480,VM-44,VR-PSK12,axial,
P-1210A,2026-05-06,DE bearing,bearing temperature,degC,56.9,1480,IR-18,TR-PSK12,cap surface,
P-1210A,2026-05-06,NDE bearing,bearing temperature,degC,60.6,1480,IR-18,TR-PSK12,cap surface,
P-1210A,2026-05-07,DE bearing,vibration velocity horizontal,mm/s,1.98,1480,VM-44,VR-PSK12,horizontal,
P-1210A,2026-05-07,DE bearing,vibration velocity vertical,mm/s,2.16,1480,VM-44,VR-PSK12,vertical,
P-1210A,2026-05-07,DE bearing,vibration velocity axial,mm/s,2.27,1480,VM-44,VR-PSK12,axial,
P-1210A,2026-05-07,NDE bearing,vibration velocity horizontal,mm/s,2.15,1480,VM-44,VR-PSK12,horizontal,
P-1210A,2026-05-07,NDE bearing,vibration velocity vertical,mm/s,2.12,1480,VM-44,VR-PSK12,vertical,
P-1210A,2026-05-07,NDE bearing,vibration velocity axial,mm/s,2.33,1480,VM-44,VR-PSK12,axial,
P-1210A,2026-05-07,DE bearing,bearing temperature,degC,56.5,1480,IR-18,TR-PSK12,cap surface,
P-1210A,2026-05-07,NDE bearing,bearing temperature,degC,61.6,1480,IR-18,TR-PSK12,cap surface,
P-1210A,2026-05-08,DE bearing,vibration velocity horizontal,mm/s,2.15,1480,VM-44,VR-PSK12,horizontal,
P-1210A,2026-05-08,DE bearing,vibration velocity vertical,mm/s,2.12,1480,VM-44,VR-PSK12,vertical,
P-1210A,2026-05-08,DE bearing,vibration velocity axial,mm/s,2.53,1480,VM-44,VR-PSK12,axial,
P-1210A,2026-05-08,NDE bearing,vibration velocity horizontal,mm/s,2.24,1480,VM-44,VR-PSK12,horizontal,
P-1210A,2026-05-08,NDE bearing,vibration velocity vertical,mm/s,2.24,1480,VM-44,VR-PSK12,vertical,
P-1210A,2026-05-08,NDE bearing,vibration velocity axial,mm/s,2.48,1480,VM-44,VR-PSK12,axial,
P-1210A,2026-05-08,DE bearing,bearing temperature,degC,61.3,1480,IR-18,TR-PSK12,cap surface,
P-1210A,2026-05-08,NDE bearing,bearing temperature,degC,60.6,1480,IR-18,TR-PSK12,cap surface,
P-1210B,2026-05-06,DE bearing,vibration velocity horizontal,mm/s,2.08,1480,VM-44,VR-PSK12,horizontal,
P-1210B,2026-05-06,DE bearing,vibration velocity vertical,mm/s,2.17,1480,VM-44,VR-PSK12,vertical,
P-1210B,2026-05-06,DE bearing,vibration velocity axial,mm/s,2.62,1480,VM-44,VR-PSK12,axial,
P-1210B,2026-05-06,NDE bearing,vibration velocity horizontal,mm/s,2.21,1480,VM-44,VR-PSK12,horizontal,
P-1210B,2026-05-06,NDE bearing,vibration velocity vertical,mm/s,2.09,1480,VM-44,VR-PSK12,vertical,
P-1210B,2026-05-06,NDE bearing,vibration velocity axial,mm/s,2.34,1480,VM-44,VR-PSK12,axial,
P-1210B,2026-05-06,DE bearing,bearing temperature,degC,53.7,1480,IR-18,TR-PSK12,cap surface,
P-1210B,2026-05-06,NDE bearing,bearing temperature,degC,61.5,1480,IR-18,TR-PSK12,cap surface,
P-1210B,2026-05-07,DE bearing,vibration velocity horizontal,mm/s,1.99,1480,VM-44,VR-PSK12,horizontal,
P-1210B,2026-05-07,DE bearing,vibration velocity vertical,mm/s,2.1,1480,VM-44,VR-PSK12,vertical,
P-1210B,2026-05-07,DE bearing,vibration velocity axial,mm/s,2.51,1480,VM-44,VR-PSK12,axial,
P-1210B,2026-05-07,NDE bearing,vibration velocity horizontal,mm/s,2.25,1480,VM-44,VR-PSK12,horizontal,
P-1210B,2026-05-07,NDE bearing,vibration velocity vertical,mm/s,1.96,1480,VM-44,VR-PSK12,vertical,
P-1210B,2026-05-07,NDE bearing,vibration velocity axial,mm/s,2.34,1480,VM-44,VR-PSK12,axial,
P-1210B,2026-05-07,DE bearing,bearing temperature,degC,59.8,1480,IR-18,TR-PSK12,cap surface,
P-1210B,2026-05-07,NDE bearing,bearing temperature,degC,56.9,1480,IR-18,TR-PSK12,cap surface,
P-1210B,2026-05-08,DE bearing,vibration velocity horizontal,mm/s,2.21,1480,VM-44,VR-PSK12,horizontal,
P-1210B,2026-05-08,DE bearing,vibration velocity vertical,mm/s,2.1,1480,VM-44,VR-PSK12,vertical,
P-1210B,2026-05-08,DE bearing,vibration velocity axial,mm/s,2.49,1480,VM-44,VR-PSK12,axial,
P-1210B,2026-05-08,NDE bearing,vibration velocity horizontal,mm/s,2.02,1480,VM-44,VR-PSK12,horizontal,
P-1210B,2026-05-08,NDE bearing,vibration velocity vertical,mm/s,2.32,1480,VM-44,VR-PSK12,vertical,
P-1210B,2026-05-08,NDE bearing,vibration velocity axial,mm/s,2.35,1480,VM-44,VR-PSK12,axial,
P-1210B,2026-05-08,DE bearing,bearing temperature,degC,55.9,1480,IR-18,TR-PSK12,cap surface,
P-1210B,2026-05-08,NDE bearing,bearing temperature,degC,58.1,1480,IR-18,TR-PSK12,cap surface,
P-1220A,2026-05-06,DE bearing,vibration velocity horizontal,mm/s,2.03,1450,VM-44,VR-PSK12,horizontal,
P-1220A,2026-05-06,DE bearing,vibration velocity vertical,mm/s,2.23,1450,VM-44,VR-PSK12,vertical,
P-1220A,2026-05-06,DE bearing,vibration velocity axial,mm/s,2.52,1450,VM-44,VR-PSK12,axial,
P-1220A,2026-05-06,NDE bearing,vibration velocity horizontal,mm/s,2.3,1450,VM-44,VR-PSK12,horizontal,
P-1220A,2026-05-06,NDE bearing,vibration velocity vertical,mm/s,2.25,1450,VM-44,VR-PSK12,vertical,
P-1220A,2026-05-06,NDE bearing,vibration velocity axial,mm/s,2.46,1450,VM-44,VR-PSK12,axial,
P-1220A,2026-05-06,DE bearing,bearing temperature,degC,53.7,1450,IR-18,TR-PSK12,cap surface,
P-1220A,2026-05-06,NDE bearing,bearing temperature,degC,53.7,1450,IR-18,TR-PSK12,cap surface,
P-1220A,2026-05-07,DE bearing,vibration velocity horizontal,mm/s,2.17,1450,VM-44,VR-PSK12,horizontal,
P-1220A,2026-05-07,DE bearing,vibration velocity vertical,mm/s,2.07,1450,VM-44,VR-PSK12,vertical,
P-1220A,2026-05-07,DE bearing,vibration velocity axial,mm/s,2.45,1450,VM-44,VR-PSK12,axial,
P-1220A,2026-05-07,NDE bearing,vibration velocity horizontal,mm/s,2.11,1450,VM-44,VR-PSK12,horizontal,
P-1220A,2026-05-07,NDE bearing,vibration velocity vertical,mm/s,2.3,1450,VM-44,VR-PSK12,vertical,
P-1220A,2026-05-07,NDE bearing,vibration velocity axial,mm/s,2.47,1450,VM-44,VR-PSK12,axial,
P-1220A,2026-05-07,DE bearing,bearing temperature,degC,57.8,1450,IR-18,TR-PSK12,cap surface,
P-1220A,2026-05-07,NDE bearing,bearing temperature,degC,58.1,1450,IR-18,TR-PSK12,cap surface,
P-1220A,2026-05-08,DE bearing,vibration velocity horizontal,mm/s,2.06,1450,VM-44,VR-PSK12,horizontal,
P-1220A,2026-05-08,DE bearing,vibration velocity vertical,mm/s,2.26,1450,VM-44,VR-PSK12,vertical,
P-1220A,2026-05-08,DE bearing,vibration velocity axial,mm/s,2.55,1450,VM-44,VR-PSK12,axial,
P-1220A,2026-05-08,NDE bearing,vibration velocity horizontal,mm/s,2.29,1450,VM-44,VR-PSK12,horizontal,
P-1220A,2026-05-08,NDE bearing,vibration velocity vertical,mm/s,2.17,1450,VM-44,VR-PSK12,vertical,
P-1220A,2026-05-08,NDE bearing,vibration velocity axial,mm/s,2.59,1450,VM-44,VR-PSK12,axial,
P-1220A,2026-05-08,DE bearing,bearing temperature,degC,58.5,1450,IR-18,TR-PSK12,cap surface,
P-1220A,2026-05-08,NDE bearing,bearing temperature,degC,59.3,1450,IR-18,TR-PSK12,cap surface,
P-1202B,2026-05-08,NDE bearing,vibration velocity vertical,mm/s,4.2,1480,VM-44,VR-PSK12,vertical,repeat upload from route logger
P-1202B,2026-05-08,NDE bearing,vibration velocity vertical,mm/s,4.2,1480,VM-44,VR-PSK12,vertical,repeat upload from route logger
